sheep count; dog count; collection time; herding time
40; 1; 63.59374; 145.2576
40; 1; 55.60972; 126.2078
40; 1; 38.16368; 85.59551
40; 1; 60.53698; 87.4847
40; 1; 49.73053; 109.5357
40; 1; 82.24969; 157.0606
40; 1; 56.97257; 109.8387
40; 1; 64.07731; 121.6562
40; 1; 60.00254; 113.3607
40; 1; 52.4982; 87.75228
40; 1; 67.50178; 115.6802
40; 1; 66.54964; 146.6649
40; 1; 47.04332; 103.236
40; 1; 43.35352; 128.0966
40; 1; 52.74968; 103.894
40; 1; 55.90818; 133.7046
40; 1; 61.6263; 147.2509
40; 1; 67.0174; 119.1159
40; 1; 51.71679; 110.7943
40; 1; 47.31353; 118.4308
40; 1; 59.50447; 94.46594
40; 1; 45.02383; 103.0084
